#Year	2026										
#Location	Thessaloniki, Greece										
#Dates	May 26 - 29										
#Website	https://recomb.org/recomb2026/										
#PC_Chair	Rayan Chikhi										
#Organization_Committee	Christos Ouzounis (chair), Ezgi Ebren										
#Keynotes	Sara Mostafavi, Paul Medvedev, Manolis Kellis, Alexandros Stamatakis										
#Proceedings_Type	NONE										
#Proceedings_Volume	0										
#Authors	RECOMB 2026 Paper Title (Original)	Proceedings Pages	Proceedings DOI	Preprint	Preprint DOI Prefix	Journal Name	Title in Journal Version	Journal Authors	Journal Volume, Issue, and Pages	Journal Publication Year	Journal Version DOI
Junyan Dai, Yunheng Han, Erin Molloy	Quartet-based species tree methods enable fast and consistent tree of blobs reconstruction under the network multispecies coalescent			bioRxiv 2025.11.05.686850	10.1101	NONE					
Francisco Sena and Alexandru I. Tomescu	Fast and Flexible Flow Decompositions in General Graphs via Dominators			arXiv:2511.19153	10.48550	NONE					
Ross Stewart, Florent Laval, Michael Calderwood, Matthew Mort, David Cooper, Marc Vidal, Predrag Radivojac	Predicting interaction-specific protein–protein interaction perturbations by missense variants with MutPred-PPI			bioRxiv 2025.12.20.695738	10.64898	NONE					
Molly Borowiak and Yun William Yu	KuPID: Kmer-based Upstream Preprocessing of Long Reads for Isoform Discovery			bioRxiv 2025.12.05.692400	10.64898	NONE					
Kirill Nikitin and Gamze Gursoy	Private Information Leakage from Polygenic Risk Scores			bioRxiv 2026.02.16.706191	10.64898	NONE					
Jacob Blindenbach, Shaunak Soni, Gamze Gursoy	Privacy-Preserving Pangenome Graphs			bioRxiv 2026.02.16.706152	10.64898	NONE					
Zitai Kong, Yiheng Zhu, Yinlong Xu, Mingze Yin, Tingjun Hou, Jian Wu, Hongxia Xu, Chang-Yu Hsieh	ProtFlow: Flow Matching-based Protein Sequence Design with Comprehensive Protein Semantic Distribution Learning and High-quality Generation			bioRxiv 2026.02.14.705870	10.64898	NONE					
Sara C. Käufler, Henri Schmidt, Martin Jürgens, Gunnar W. Klau, Palash Sashittal, Benjamin J. Raphael	POTTR: Identifying Recurrent Trajectories in Evolutionary and Developmental Processes using Posets			bioRxiv 2026.02.25.707960	10.64898	NONE					
Peidong Zhang, Rong Han, Xiangzhe Kong, Ting Chen, Jianzhu Ma	SpecLig: Energy-Guided Hierarchical Model for Target-Specific 3D Ligand Design			bioRxiv 2025.11.06.687093	10.1101	NONE					
Anik Saha and Md Shamsuzzoha Bayzid	STELAR-X: Scaling Coalescent-Based Species Tree Inference to 100,000 Species and Beyond			bioRxiv 2025.11.22.689894	10.1101	NONE					
Md Zarzees Uddin Shah Chowdhury, T. M. Murali, Palash Sashittal	A Cophylogenetic Approach for Virus-Host Interaction Prediction			bioRxiv 2026.02.26.708038	10.64898	NONE					
Victor Chardès	Denoising single-cell transcriptomic data with sparse PCA			arXiv:2509.15429	10.48550	NONE					
Yazheng Di and Na Cai	Prediction of lifetime disease liability from EHR features			medRxiv 2026.02.15.26346336	10.64898	NONE					
Azamat Salamatov and Gowtham Atluri	Quantum and Temporal Graph Neural Networks Reveal New Accuracy Limits in Predicting Protein–Ligand Dissociation Kinetics			bioRxiv 2025.11.20.689635	10.1101	NONE					
Mahmudur Rahman Hera, David Koslicki, Conrado Martínez	MaxGeomHash: An Algorithm for Variable-Size Random Sampling of Distinct Elements			bioRxiv 2025.11.11.687920	10.1101	NONE					
Vaibhav Mohanty, Anna Sappington, Eugene Shakhnovich, Bonnie Berger	Evolutionary dynamics under phenotypic uncertainty			bioRxiv 2026.03.15.711953	10.64898	NONE					
Shayesteh Arasti, Ali Osman Berk Şapcı, Eleonora Rachtman, Mohammed El-Kebir, Siavash Mirarab	Deconvolving Phylogenetic Distance Mixtures			bioRxiv 2026.01.18.700179	10.64898	NONE					
Pengyu Sun, Xinlei Huang, Tian Mou, Xubin Zheng	Achieving spatial multi-omics integration from unaligned serial sections with DIME			bioRxiv 2026.02.25.707961	10.64898	NONE					
Xinming Tu, Alexander Sasse, Kaitavjeet Chowdhary, Anna E. Spiro, Liang Yang, Maria Chikina, Christophe O. Benoist, Sara Mostafavi	Deep genomic models of allele-specific measurements			bioRxiv 2025.04.09.648060	10.1101	NONE					
Leonard Bohnenkämper, Luca Parmigiani, Cedric Chauve, Jens Stoye	On Deriving Synteny Blocks by Compacting Elements			bioRxiv 2025.12.15.694404	10.64898	NONE					
Niels Holtgrefe, Leo van Iersel, Ruben Meuwese, Yukihiro Murakami, Jannik Schestag	PaNDA: Efficient Optimization of Phylogenetic Diversity in Networks			bioRxiv 2025.11.14.688467	10.1101	NONE					
Jinpu Cai, Yuxuan Wang, Yunhao Qiao, Cheng Wang, Ziqi Rong, Luting Zhou, Haoyang Liu, Meng Jiang, Hongbin Shen, Jingyi Jessica Li, Hongyi Xin	Information Geometry Reconciles Discrete and Continuous Variation in Single-Cell and Spatial Transcriptomic Analysis			bioRxiv 2026.02.25.707866	10.64898	NONE					
Giulia Muzio, Michael Adamer, Leyden Fernandez, Lukas Miklautz, Karsten Borgwardt, Kemal Avican	Bacterial protein function prediction via multimodal deep learning			bioRxiv 2024.10.30.621035	10.1101	NONE					
Juliane Hoffmann, Julia Wallnig, Ziheng Dai, Olga Tsoy, David B. Blumenthal, Anne Hartebrodt	Alternet: Alternative splicing-aware gene regulatory network inference			bioRxiv 2025.11.21.689745	10.1101	NONE					
